type,model_mkt,display_name
motherboards,THUNDERBOLTEX 3-TR,THUNDERBOLTEX 3-TR
monitors,VG278QR,VG278QR
iot,C381S-IM-AA,C381S-IM-AA
aiot,PE1000N,PE1000N
monitors,VP278H,VP278H
aiot,EBS-I10,EBS-I10
tablets,ASUS Chromebook Tablet CT100,ASUS Chromebook Tablet CT100
laptops,ASUS ExpertBook P1440UA,ASUS ExpertBook P1 P1440
servers,RS720Q-E10-RS8U,RS720Q-E10-RS8U
monitors,VA327HR,VA327HR
nucs,NUC 12 Extreme Kit,NUC 12 Extreme Kit
graphics-cards,DUAL-RTX4060TI-O16G-EVO,ASUS Dual GeForce RTX™ 4060 Ti EVO OC 超頻版 16GB GDDR6
laptops,X330UA,X330UA
iot,H310I-IM-B,H310I-IM-B
accessories,ZenPower Slim 6000,ZenPower Slim 6000
aiot,MXM-M23A-M7,MXM-M23A-M7
iot,C582S-IM-AA,C582S-IM-AA
servers,RS500A-E9-RS4-U,RS500A-E9-RS4-U
desktops,E900 G4,E900 G4
